,,,Rat target sites,,Mouse target sites,
Chemical name,CAS,Salmonella,Male,Female,Male,Female
Acetaminophen *,103-90-2,-,-,-e,-,-
Acetohexamide,968-81-0,-,-,-,-,-
Acetonitrile,75-05-8,-,-e,-,-,-
Acronycine,7008-42-6,.,bon per,mgl per,I,I
Acrylonitrile *,107-13-1,+,.,.,hag sto,hag sto
Agar,9002-18-0,.,-,-,-,-
Aldicarb,116-06-3,-,-,-,-,-
Aldrin *,309-00-2,-,-,-,liv,-
Allyl chloride,107-05-1,+,I,I,-a,-a
Allyl glycidyl ether,106-92-3,+,-e,-,nass,-e
Allyl isothiocyanate,57-06-7,+,ubl,-a,-,-
Allyl isovalerate,2835-39-4,-,hmo,-,-,hmo
"1-Amino-2,4-dibromoanthraquinone",81-49-2,+,kid lgi liv ubl,kid lgi liv ubl,liv lun sto,liv lun sto
3-Amino-4-ethoxyacetanilide,17026-81-2,+,-,-,thy,-
3-Amino-9-ethylcarbazole.HCl,6109-97-3,+,ezy liv ski,ezy liv ute,liv,liv
3-Amino-9-ethylcarbazole mixture,mixture,+,ezy liv ski,ezy,liv,liv
1-Amino-2-methylanthraquinone,82-28-0,+,kid liv,liv,-,liv
2-Amino-4-nitrophenol,99-57-0,+,kids,-,-,-
2-Amino-5-nitrophenol,121-88-0,+,pans,-,-,-
4-Amino-2-nitrophenol,119-34-6,+,ubl,-a,-,-
2-Amino-5-nitrothiazole *,121-66-4,+,"-a, u",-,-,-
2-Aminoanthraquinone,117-79-3,+,liv,-,liv,hmo liv
11-Aminoundecanoic acid,2432-99-7,-,liv ubl,-,-,-
dl-Amphetamine sulfate,60-13-9,-,-,-,-,-
Ampicillin trihydrate,7177-48-2,-,-e,-,-,-
Anilazine,101-05-3,-,-,-,-,-
Aniline.HCl,142-04-1,-,per spl vsc,per,-,-
o-Anisidine.HCl,134-29-2,+,kid thy ubl,ubl,ubl,ubl
p-Anisidine.HCl,20265-97-8,+,-a,-,-,-
